"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"2792","FUTCUR","EURINR","FUTURE","28-Jan-2026",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO - Indian Rupees","","","","",96.3875,106.535,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",99.93,"EURINR"
"2932","FUTCUR","USDINR","FUTURE","28-Jan-2026",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",16,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",82.38,91.0525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",86.675,"USDINR"
"2820","FUTCUR","GBPINR","FUTURE","28-Jan-2026",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"Pound-Indian Rupees","","","","",110.1575,121.755,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",115.475,"GBPINR"
"2827","FUTCUR","JPYINR","FUTURE","28-Jan-2026",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"YEN - Indian Rupees","","","","",60.235,66.5775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",62.18,"JPYINR"
"2386","OPTCUR","EURINR","OPTION","27-Mar-2026",88.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.1325,0.2275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4525,"EURINR"
"2922","OPTCUR","EURINR","OPTION","27-Mar-2026",90.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",10.46,12.24,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",10.025,"EURINR"
"2274","OPTCUR","EURINR","OPTION","27-Mar-2026",86.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.085,0.155,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.315,"EURINR"
"3078","OPTCUR","EURINR","OPTION","27-Mar-2026",92.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",9.43,11.155,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.01,"EURINR"
"3275","OPTCUR","EURINR","OPTION","27-Mar-2026",94.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",7.5075,9.1025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.1275,"EURINR"
"3400","OPTCUR","EURINR","OPTION","27-Mar-2026",95.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.915,1.325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4025,"EURINR"
